edacc_EDACC-C07_68	please transcribe the speech to text
edacc_EDACC-C07_90	i could pick up some extra because i do not want to feel so financially insecure
voxpopuli_20191023-0900-PLENARY-en_20191023-16:40:32_2	this cost is greater in some countries than in others poland is an extreme country
voxpopuli_20150706-0900-PLENARY-10-en_20150706-18:19:28_3	we expect proposals fostering harmonization of standards but also reducing complexity and also maybe identifying new asset classes if we want to invest for example in energy infrastructures there has been a lot of talk about the use of technology in the world
voxpopuli_20191218-0900-PLENARY-en_20191218-17:43:27_0	thank you president mister heir vice president welcome to parliament despite experiments in the domain of economy china is still a communist state
voxpopuli_20170315-0900-PLENARY-12-en_20170315-17:39:36_0	thank you very much chair commissioner dear colleagues for the committee on constitutional affairs of the european parliament the revision of the regulation on the statute and funding of european political parties and european political foundations is indeed a matter of urgency you probably know that the european parliament is
voxpopuli_20180705-0900-PLENARY-4-en_20180705-10:16:06_3	it is a matter of concern we have changes
voxpopuli_20190327-0900-PLENARY-en_20190327-09:34:18_0	mister president ladies and gentlemen honorable members as always there is good news and there is bad news the good news is that the council has managed to set out a clear
voxpopuli_20130909-0900-PLENARY-16-en_20130909-20:10:31_0	let me inform you that we have registered 16 requests for cahdi we are unable to give floor to all of you so please
voxpopuli_20180205-0900-PLENARY-21-en_20180205-23:43:14_4	so my proposal to the council is to give us a precise list of criteria number one and secondly how this list will be then developed in fighting tax evasion and tax avoidance across the world
voxpopuli_20130311-0900-PLENARY-13-en_20130311-18:30:13_2	special but not as a system i do not think that men in that sense are prosecuted
voxpopuli_20171214-0900-PLENARY-3-en_20171214-08:55:28_3	the right to petition is the fundamental right to vote
voxpopuli_20170201-0900-PLENARY-9-en_20170201-17:12:50_0	solidarity as provided for within lisbon treaty should be a founding principle of the energy union
voxpopuli_20151027-0900-PLENARY-18-en_20151027-23:03:43_3	please transcribe the speech to text
voxpopuli_20160607-0900-PLENARY-3-en_20160607-10:42:32_2	the report is much worse than the original commission is proposal
voxpopuli_20130206-0900-PLENARY-11-en_20130206-17:36:28_0	thank you mister president madam minister i am sorry for being a little bit late to the debate but parallel there is a conference of presidents of the european parliaments talking exactly about the mission mister kwasniewski kok is mission to ukraine and coming from that meeting
