edacc_EDACC-C07_68	i did a shopping for one person
voxpopuli_20191023-0900-PLENARY-en_20191023-16:40:32_2	the speech is greater in some countries than the others poland is an extreme
voxpopuli_20150706-0900-PLENARY-10-en_20150706-18:19:28_3	we expect proposals for studying harmonization of standards but also reducing complexity and also maybe identifying new asset classes if we want to invest for example in energy infrastructures
voxpopuli_20150609-0900-PLENARY-13-en_20150609-18:08:13_1	i would ask you to read the capital of i for example to see what is in this report in fact well this is a question here
voxpopuli_20191218-0900-PLENARY-en_20191218-17:43:27_0	thank you president mister high repeat vice president welcome to parliament despite experiments in the domain of economy china is still a communist state
voxpopuli_20170315-0900-PLENARY-12-en_20170315-17:39:36_0	thank you very much chair commissioner the colleagues for the committee on constitutional affairs of the european parliament the revision of the regulation on the statute and funding of european political parties and european political foundations is indeed a matter of urgency
voxpopuli_20180705-0900-PLENARY-4-en_20180705-10:16:06_3	and that is a matter of concern with changes
voxpopuli_20180205-0900-PLENARY-21-en_20180205-23:43:14_4	so my proposal to the councilors to give us a precise list of criteria number one and secondly and secondly how this list will be then developed in fighting tax evasion and tax avoidance across the world
voxpopuli_20170215-0900-PLENARY-13-en_20170215-15:59:58_6	if you do not have the same source in your mind it must work and not think about something
voxpopuli_20170201-0900-PLENARY-9-en_20170201-17:12:50_0	tell the document
voxpopuli_20151027-0900-PLENARY-18-en_20151027-23:03:43_3	i will explain why we could not do certain things we could not do them also because we also
voxpopuli_20160607-0900-PLENARY-3-en_20160607-10:42:32_2	i am sure the report is much worse than the original commission is proposal one of the most controversial
voxpopuli_20130206-0900-PLENARY-11-en_20130206-17:36:28_0	i am sorry for being late to the debate but there is a conference of press talking about the mission to ukraine and coming from that meeting
