edacc_EDACC-C23_P1_581	please transcribe the speech to text
edacc_EDACC-C23_P1_612	they were telling me no in the market there is a zombie like blank shut up like you do not want to believe but it is like this
edacc_EDACC-C23_P1_617	please transcribe the speech to text
edacc_EDACC-C23_P2_635	please transcribe the speech to text
edacc_EDACC-C23_P2_646	i think my father likes them because he cannot walk a lot
edacc_EDACC-C23_P2_657	please transcribe the speech to text
edacc_EDACC-C23_P2_682	please transcribe the speech to text
edacc_EDACC-C04_744	please transcribe the speech to text
edacc_EDACC-C21_2564	that is the thing i did not like about monopoly sometimes it was 6 hours and you still had not finished so then .
edacc_EDACC-C21_2580	please transcribe the speech to text ah the money is amazing
edacc_EDACC-C21_2603	please transcribe the speech to text so if i could go on holiday anywhere right now probably still mexico would still be my number one i just really really want to go there but there is a few islands for surfing that i would go to if it was cheaper 0 i
edacc_EDACC-C21_2649	the phrase is .
edacc_EDACC-C26_2985	please transcribe the speech to text well i remember mario bros of course because that one is a classic but i think i have not heard about star wars i do not i never played that one what is it about
edacc_EDACC-C26_3003	please transcribe the speech to text for sure without any question my favorite movie my childhood favorite movie was toy story 2
edacc_EDACC-C26_3027	please transcribe the speech to text yeah the same with trick
edacc_EDACC-C27_3064	i live in puebla
edacc_EDACC-C37_P1_3463	i can not remember what was the year when we met for the 1st time maybe through my my small brother
edacc_EDACC-C37_P1_3580	maybe this could be the name of a movie or maybe a director i do not know
edacc_EDACC-C37_P2_3681	please transcribe the speech to text i am really afraid if i go ill with my throat and i think it is
voxpopuli_20151027-0900-PLENARY-12-en_20151027-17:00:29_2	this was voted down not that it should be particularly surprised just like the last 55 times the uk tried to oppose a measure in the council of rhinnesses were voted down 55 out of 55 times i suppose it is not really a surprise is it
voxpopuli_20090325-0900-PLENARY-4-en_20090325-12:47:54_0	i have an oral amendment here which would be the deletion of the last sentence just for the sake of accuracy because it is not accurate anymore we would delete the sentence which is not accurate anymore
voxpopuli_20190918-0900-PLENARY-en_20190918-11:01:23_1	for all those citizens what mister farage called a clean break brexit it is a very very dirty brexit indeed
voxpopuli_20110705-0900-PLENARY-9-en_20110705-17:39:28_0	moltes gracies senor president dear commissioner dear colleagues the amendment 137 tabled with 40 other colleagues regarding languages in the food labeling has the aim to respect language diversity in the european union it also wants to respect
voxpopuli_20110705-0900-PLENARY-9-en_20110705-17:39:28_2	the diversity in the eu also means that 1000000s of european citizens have as they mother tongue a language which is not recognized in this parliament in the case of catalonia the language is not recognized in this parliament
voxpopuli_20180207-0900-PLENARY-17-en_20180207-18:15:09_5	please transcribe the speech to text
voxpopuli_20151006-0900-PLENARY-15-en_20151006-20:06:45_1	equally i would expect mister etheridge to accept that if my personal view were to win out that he would accept that you should not have the death penalty that is what democracy fundamentally is
