edacc_EDACC-C23_P1_617	yeah i would like to i do not like to call it on rational because that is like you know a already
edacc_EDACC-C23_P2_682	yeah yeah because you do me like a lot of stuff as to your legs
edacc_EDACC-C21_2580	ah that only money is amazing
edacc_EDACC-C21_2603	so if i keep going like anywhere right now it probably still mexico would still be my number one i just really really want to go there but there is a few islands for surfing that i would go to if it was cheaper 0 i
edacc_EDACC-C26_2985	well i remember mario bros of course because i am a classic but i think i am in here about starflux i do not i never played that one was it about
edacc_EDACC-C26_3003	for sure without any question my favorite movie my childhood favorite movie was toy story 2
edacc_EDACC-C26_3027	yeah the same with trick
edacc_EDACC-C37_P1_3580	maybe this could be the name of the movie or maybe a director i do not know
edacc_EDACC-C37_P2_3681	i am really afraid if i take no no sure if i go ill with my throat and i think
voxpopuli_20151027-0900-PLENARY-12-en_20151027-17:00:29_2	it was voted down not that it should be particularly surprised just like the last 55 times the uk tried to oppose the measure in the council of winnices were voted down 55 out of 55 times it is not really a surprise is it
voxpopuli_20090325-0900-PLENARY-4-en_20090325-12:47:54_0	i have an oral amendment here which would be the deletion on this amendment too the deletion of the last sentence just for the sake of accuracy because it is not accurate anymore we would delete the sentence which
voxpopuli_20091124-0900-PLENARY-19-en_20091124-23:42:46_4	europe is an exquisite model of good practice which gives the possibility to smaller official languages to be treated on an equal footing
voxpopuli_20190918-0900-PLENARY-en_20190918-11:01:23_1	for all those citizens what mister farash called a clean break brexit it is a very very dirty brexit indeed there is a situation
voxpopuli_20110705-0900-PLENARY-9-en_20110705-17:39:28_2	the diversity in the eu also means that 1000000s of european citizens have as the mother tongue a language which is not recognized in this parliament in the case of catalonia
voxpopuli_20180207-0900-PLENARY-17-en_20180207-18:15:09_5	so enhances the presumption of innocence regarding their respect which is due by the members of the parliament prosecutor and finally it is important to break
voxpopuli_20151006-0900-PLENARY-15-en_20151006-20:06:45_1	equally i would expect mister ethelage to accept that if my personal view would have been well out that he would accept that you should not have the death penalty that is what democracy fundamentally is
