edacc_EDACC-C07_68	thank you
voxpopuli_20150706-0900-PLENARY-10-en_20150706-18:19:28_3	we expect proposals fostering harmonization of standards but also reducing complexity and also maybe identifying new asset classes if we want to invest for example in energy infrastructures
voxpopuli_20191218-0900-PLENARY-en_20191218-17:43:27_0	thank you president mister vice president welcome to parliament despite experiments in the domain of economy china is still a communist state
voxpopuli_20180705-0900-PLENARY-4-en_20180705-10:16:06_3	thank you
voxpopuli_20130909-0900-PLENARY-16-en_20130909-20:10:31_0	we have registered 16 requests for kgdi we are unable to give floor to all of you
voxpopuli_20180205-0900-PLENARY-21-en_20180205-23:43:14_4	my proposal to the council is to give us a precise list of criteria number one and secondly and secondly how this list will be then developed in fighting tax evasion and tax avoidance across the world
voxpopuli_20170215-0900-PLENARY-13-en_20170215-15:59:58_6	thank you
voxpopuli_20171214-0900-PLENARY-3-en_20171214-08:55:28_3	thank you
voxpopuli_20170201-0900-PLENARY-9-en_20170201-17:12:50_0	thank you
voxpopuli_20151027-0900-PLENARY-18-en_20151027-23:03:43_3	thank you so much friends
voxpopuli_20140915-0900-PLENARY-13-en_20140915-17:41:03_9	thank you very much
voxpopuli_20160607-0900-PLENARY-3-en_20160607-10:42:32_2	thank you
voxpopuli_20130206-0900-PLENARY-11-en_20130206-17:36:28_0	thank you mister president madam minister i am sorry for being a little bit late to the debate but parallel there is a conference of presidents of the european parliament talking exactly about the mission mister krasniewski kok is mission to ukraine and coming from that meeting
