voxpopuli_20090325-0900-PLENARY-15-en_20090325-22:41:48_1	transcribe the speech to text
voxpopuli_20150113-0900-PLENARY-4-en_20150113-11:02:34_4	thank you
voxpopuli_20200915-0900-PLENARY-en_20200915-11:56:38_3	people in belarus deserve justice
voxpopuli_20170615-0900-PLENARY-12-en_20170615-12:54:33_1	thank you
voxpopuli_20141022-0900-PLENARY-14-en_20141022-19:43:12_0	thank you mister chairman on the issue of isis foreign fighters i would like to point out to the situation in our close neighborhood the western balkans
voxpopuli_20121212-0900-PLENARY-17-en_20121212-21:30:44_8	thank you
voxpopuli_20090325-0900-PLENARY-14-en_20090325-22:18:06_42	thank you
voxpopuli_20170316-0900-PLENARY-5-en_20170316-10:53:53_5	thank you
voxpopuli_20170913-0900-PLENARY-12-en_20170913-16:49:29_0	thank you very much mister chairman ladies and gentlemen i do believe that the immediate actions should be taken to improve fire safety in buildings for all citizens and prevent the tragedy of the scale of the .
voxpopuli_20191023-0900-PLENARY-en_20191023-20:33:37_0	thank you
voxpopuli_20090325-0900-PLENARY-14-en_20090325-22:18:06_37	thank you
voxpopuli_20111026-0900-PLENARY-3-en_20111026-09:30:00_3	thank you
voxpopuli_20190312-0900-PLENARY-en_20190312-18:35:39_2	thank you
voxpopuli_20120523-0900-PLENARY-13-en_20120523-16:27:39_0	thank you mister chairman on april 12th the world received not so surprising news from the african continent since 1998 the world has been in a state of panic
voxpopuli_20190314-0900-PLENARY-en_20190314-13:19:29_7	thank you
voxpopuli_20090325-0900-PLENARY-14-en_20090325-22:18:06_4	thank you
voxpopuli_20090325-0900-PLENARY-14-en_20090325-22:18:06_12	thank you
