edacc_EDACC-C23_P1_617	i do not like to call it on rational because that is like you know we already
edacc_EDACC-C23_P2_682	yeah yeah because you do have a link on the other side of the screen with your next
edacc_EDACC-C21_2580	alright thanks for playing this
edacc_EDACC-C21_2603	so if i keep going like anywhere right now it probably still mexico would still be my number one i just really really want to go there but there is a few islands for surfing that i would go to if it was cheaper
edacc_EDACC-C26_2985	i remember mario bros of course because i am a classic but i think i have an hear about starflux i never played that one was it about
edacc_EDACC-C26_3003	i am not sure without any question my favorite movie my child my child is favorite movie was toy story 2
edacc_EDACC-C26_3027	yeah the same way to track
edacc_EDACC-C37_P1_3580	maybe this could be the name of the movie or maybe a director i do not know
edacc_EDACC-C37_P2_3681	i am really afraid if i take no not sure if i go ill with my throat and i think
voxpopuli_20151027-0900-PLENARY-12-en_20151027-17:00:29_2	the last 55 times the uk tried to oppose the measure in the council of winises were voted down 55 out of 55 times as opposed to the
voxpopuli_20090325-0900-PLENARY-4-en_20090325-12:47:54_0	i have an oral amendment here which would be the deletion of the last sentence for the sake of accuracy
voxpopuli_20091124-0900-PLENARY-19-en_20091124-23:42:46_4	you are an exquisite model of good practice which gives the possibility to smaller officials languages to be treated on an equal footing
voxpopuli_20190918-0900-PLENARY-en_20190918-11:01:23_1	samuel
voxpopuli_20110705-0900-PLENARY-9-en_20110705-17:39:28_2	the diversity in the eu also means that 1000000s of european citizens have as the mother tongue a language which is not recognized in this parliament
voxpopuli_20180207-0900-PLENARY-17-en_20180207-18:15:09_5	i will also enhance the presumption of innocence regarding the respect which is due by the members of the parliament
voxpopuli_20151006-0900-PLENARY-15-en_20151006-20:06:45_1	you must hear mister or t
