edacc_EDACC-C01_364	and i二ll official account right away
edacc_EDACC-C53_1826	thank you
edacc_EDACC-C53_1880	yes at the moment it is not possible but yes i think i will
edacc_EDACC-C57_P1_3955	i want to know but what is your nephew going to do in scotland where is he where is he
edacc_EDACC-C57_P2_4018	thank you
edacc_EDACC-C57_P2_4029	thank you
voxpopuli_20110407-0900-PLENARY-9-en_20110407-15:06:54_7	thank you
voxpopuli_20140227-0900-PLENARY-3-en_20140227-08:46:27_6	president maduro who is behaving increasingly like his mentor castro in cuba must release the opposition figures he must release the journalists and the students
voxpopuli_20171003-0900-PLENARY-14-en_20171003-18:56:21_10	he will still have comments that i am not the best originally for
voxpopuli_20171003-0900-PLENARY-14-en_20171003-18:56:21_7	transcribe the speech to text
voxpopuli_20120215-0900-PLENARY-12-en_20120215-16:44:04_2	thank you
voxpopuli_20121121-0900-PLENARY-9-en_20121121-16:50:18_0	thank you
voxpopuli_20120417-0900-PLENARY-11-en_20120417-20:48:39_6	thank you
voxpopuli_20110309-0900-PLENARY-14-en_20110309-13:24:36_0	thank you mister president my group is supporting this report because it moves in the right direction calling for a eu strategy and a roadmap for the roma inclusion
voxpopuli_20121210-0900-PLENARY-28-en_20121210-18:20:05_1	thank you
voxpopuli_20171212-0900-PLENARY-16-en_20171212-17:11:15_1	thank you
voxpopuli_20131209-0900-PLENARY-16-en_20131209-19:52:29_2	please transcribe the speech to text
