edacc_EDACC-C27_3059	i am actually working for a translation agency
edacc_EDACC-C27_3110	do you like cats do you have any pets
voxpopuli_20120703-0900-PLENARY-4-en_20120703-12:18:54_8	thank you
voxpopuli_20180419-0900-PLENARY-16-en_20180419-15:19:07_22	thank you
voxpopuli_20181113-0900-PLENARY-en_20181113-17:32:56_4	thank you
voxpopuli_20190212-0900-PLENARY-en_20190212-14:10:14_6	thank you
voxpopuli_20171025-0900-PLENARY-18-en_20171025-15:58:29_0	thank you very much
voxpopuli_20121023-0900-PLENARY-11-en_20121023-16:41:31_4	thank you
voxpopuli_20101020-0900-PLENARY-17-en_20101020-23:41:58_8	thank you
voxpopuli_20180502-0900-PLENARY-30-en_20180502-23:07:44_6	thank you
voxpopuli_20170315-0900-PLENARY-10-en_20170315-15:50:02_6	thank you
voxpopuli_20180612-0900-PLENARY-4-en_20180612-12:11:19_3	thank you
