edacc_EDACC-C27_3059	i am actually working for a translation agency and
edacc_EDACC-C27_3060	we are translating content like most of the time videos and programs for personal development or personal growth and we are translating it from english to french in my team but in the company there are other teams like for example they also translate it in spanish in german in portuguese in italian and yeah i really like it as well and i totally understand what you mean i am now in a weekend so that is pretty cool
edacc_EDACC-C27_3110	thank you
voxpopuli_20101020-0900-PLENARY-15-en_20101020-21:48:16_13	thank you
voxpopuli_20130704-0900-PLENARY-10-en_20130704-12:51:27_2	thank you thank you
voxpopuli_20120703-0900-PLENARY-4-en_20120703-12:18:54_8	thank you
voxpopuli_20151005-0900-PLENARY-9-en_20151005-17:17:36_1	thank you
voxpopuli_20180419-0900-PLENARY-16-en_20180419-15:19:07_22	thank you
voxpopuli_20181113-0900-PLENARY-en_20181113-17:32:56_4	thank you
voxpopuli_20101110-0900-PLENARY-9-en_20101110-15:35:32_1	thank you
voxpopuli_20190212-0900-PLENARY-en_20190212-14:10:14_6	thank you
voxpopuli_20171025-0900-PLENARY-18-en_20171025-15:58:29_0	thank you very much
voxpopuli_20180913-0900-PLENARY-en_20180913-15:17:20_0	thank you very much mister president dear colleagues honorable commissioner my friend and real socialist mister andrikaitis the 9th of may european day is a big event for us
voxpopuli_20150708-0900-PLENARY-5-en_20150708-12:13:03_4	thank you
voxpopuli_20110216-0900-PLENARY-15-en_20110216-19:26:47_32	thank you
voxpopuli_20121023-0900-PLENARY-11-en_20121023-16:41:31_4	thank you
voxpopuli_20091216-0900-PLENARY-8-en_20091216-15:17:58_8	thank you
voxpopuli_20140916-0900-PLENARY-14-en_20140916-15:52:23_0	thank you madam president horizon 2020 is one of the areas of the eu budget
voxpopuli_20101020-0900-PLENARY-17-en_20101020-23:41:58_8	thank you
voxpopuli_20170301-0900-PLENARY-19-en_20170301-23:16:55_1	thank you
voxpopuli_20180502-0900-PLENARY-30-en_20180502-23:07:44_6	thank you
voxpopuli_20180705-0900-PLENARY-en_20180705-12:59:28_5	thank you
voxpopuli_20181114-0900-PLENARY-en_20181114-14:12:18_7	thank you
voxpopuli_20170201-0900-PLENARY-7-en_20170201-15:25:23_0	thank you
voxpopuli_20170315-0900-PLENARY-10-en_20170315-15:50:02_6	thank you
voxpopuli_20180612-0900-PLENARY-4-en_20180612-12:11:19_3	thank you
