voxpopuli_20180702-0900-PLENARY-14-en_20180702-19:23:37_4	thank you
voxpopuli_20170704-0900-PLENARY-15-en_20170704-17:12:49_6	thank you
voxpopuli_20170315-0900-PLENARY-16-en_20170315-22:52:19_0	thank you mister president
voxpopuli_20110214-0900-PLENARY-9-en_20110214-18:38:20_0	thank you chairman the hungarian computer guy can legally go to czech republic and make his work and it is great
voxpopuli_20091022-0900-PLENARY-8-en_20091022-11:32:33_5	the one we are increasing and another one we are decreasing so i think we should be strict to our decision for it is written clearly in the amendment number 464 that the increase the amendment is not increasing the
voxpopuli_20160427-0900-PLENARY-13-en_20160427-18:57:22_1	i believe that we should stand firm and should not grant discharge to the european food safety agency until the conflict of interest of experts is not resourced properly
voxpopuli_20140716-0900-PLENARY-4-en_20140716-09:13:16_2	thank you
voxpopuli_20180418-0900-PLENARY-7-en_20180418-11:14:39_3	thank you
voxpopuli_20091022-0900-PLENARY-8-en_20091022-11:14:18_16	this adjustment list is usually in each year and represents a good work from the secretariat
voxpopuli_20120329-0900-PLENARY-5-en_20120329-10:37:14_5	this is not only
voxpopuli_20120913-0900-PLENARY-16-en_20120913-16:15:00_11	if not that is really sad you should not have been heard about that
