edacc_EDACC-C23_P1_617	yeah i would not like to i do not like to call it unrational because that is like in a way already
edacc_EDACC-C23_P2_682	yeah yeah yeah because you do make like a lot of strength with your legs
edacc_EDACC-C21_2580	ah the diamond is amazing
edacc_EDACC-C21_2603	so if i could go on holiday anywhere right now i would probably still mexico would still be my number one i just really really want to go there but there is a few islands for surfing that i would go to if it was cheaper 0 i
edacc_EDACC-C26_2985	well well i remember mario bros of course because that one is a classic but i think i have not heard about star fox i i do not i never play that one what was it about
edacc_EDACC-C26_3003	for sure i am not like without any question my favorite movie my child my childhood favorite movie was toy story 2
edacc_EDACC-C26_3027	yeah the same with shrek
edacc_EDACC-C37_P1_3580	maybe this could be the name of a movie or maybe a director i do not know
edacc_EDACC-C37_P2_3681	i am really afraid if we have if i take take no not sure if i go ill with my throat and i think
voxpopuli_20151027-0900-PLENARY-12-en_20151027-17:00:29_2	this was voted down knowledge it should be particularly supplies just like the last 55 times the uk tried to oppose a measure in the council of witnesses were voted down 55 outta 55 times i suppose it is not really supplies is it
voxpopuli_20090325-0900-PLENARY-4-en_20090325-12:47:54_0	i i have an oral amendment here which would be the deletion on this amendment too the deletion of the last sentence just for for the sake of accuracy because it is not cur anymore we would delete the senate which
voxpopuli_20091124-0900-PLENARY-19-en_20091124-23:42:46_4	europe is aned model of good practice which gives the possibility smaller official languages to be treated on an equal footing there are
voxpopuli_20190918-0900-PLENARY-en_20190918-11:01:23_1	for all those citizens what mister farage called a clean break brexit is a very very dirty brexit indeed their situation
voxpopuli_20110705-0900-PLENARY-9-en_20110705-17:39:28_2	the diversity in the eu also means that 1000000s of european citizens have as a mother tongue a language which is not recognized in this parliament in the case of catalonia
voxpopuli_20180207-0900-PLENARY-17-en_20180207-18:15:09_5	enhances the presumption of innocence regarding the risk which is due by the members of the public prosecutor and then finally it is important to break
voxpopuli_20151006-0900-PLENARY-15-en_20151006-20:06:45_1	equally i would expect mister etheridge to accept that if my personal view were to went out that he would accept that you should not have the death penalty that is what democracy fundamentally
