edacc_EDACC-C01_321	thank you
edacc_EDACC-C01_364	yeah yeah yeah hong kong is very english friendly it is it is it was a former colony so it is very englishized but at the same time you see a lot of the chinese culture
edacc_EDACC-C01_369	i mean it was similar in hong kong as in the main city you get by with english and when talking to youngsters but as soon as you go into the outskirts it is the same thing but the signs at least were also mostly in english as well so because of that you know you get by
edacc_EDACC-C53_1826	thank you
edacc_EDACC-C53_1880	thank you
edacc_EDACC-C53_1905	thank you
edacc_EDACC-C54_1950	okay wow respect fellow artists we like that
edacc_EDACC-C57_P1_3955	i want to know but what is your nephew going to do in scotland where is he
edacc_EDACC-C57_P1_3963	thank you
edacc_EDACC-C57_P2_4000	i really do like to do it but i work in a studio where the boss is just impossible to bear
edacc_EDACC-C57_P2_4018	thank you
edacc_EDACC-C57_P2_4021	also to command properly in optional text ocean school videogames are existent creators of tournament video full variety of games ploading editor creator find out all aboutred bullet television wash enjoyed the game interest paid paid sponsorship thanks for watching
edacc_EDACC-C57_P2_4029	thank you
voxpopuli_20110407-0900-PLENARY-9-en_20110407-15:06:54_7	we call for his immediate release in this house and we express regret once again that china goes to such extreme lengths against those who dare speak out for their basic and fundamental human rights
voxpopuli_20130417-0900-PLENARY-15-en_20130417-18:58:02_5	thank you
voxpopuli_20180207-0900-PLENARY-8-en_20180207-12:30:56_0	mister president the article 5 which has been put to the vote immediately after the adoption of the amendment on article 4 one has been voted but many of us voting contrary to our voting list because we were not aware we were voting article
voxpopuli_20120214-0900-PLENARY-13-en_20120214-18:56:36_6	3rd the most important reason i am against this agreement is the fact that it does not mention one fundamental fact the rights of the sarawi people occupied and harassed by morocco the fact that these rights are not prejudiced directly or indirectly by its clauses
voxpopuli_20140227-0900-PLENARY-3-en_20140227-08:46:27_6	president maduro who is behaving increasingly like his mentor castro in cuba must release the opposition figures he must release the journalists and the students
voxpopuli_20171003-0900-PLENARY-14-en_20171003-18:56:21_10	thank you
voxpopuli_20171003-0900-PLENARY-14-en_20171003-18:56:21_7	thank you
voxpopuli_20120215-0900-PLENARY-12-en_20120215-16:44:04_2	the turkish and saudi condemnation of the regime and turkey is role in particular accepting refugees is commendable the arab league in seeking to end the violence and in producing a new peace plan should also be congratulated which the syrian regime must implement without delay syria must be made to guarantee
voxpopuli_20121121-0900-PLENARY-9-en_20121121-16:50:18_0	mister president with all the crises going on in the world such as the eurozone one the fiscal cliff in the us etc a nuclear iran for example climate change has somewhat fallen down the political
voxpopuli_20120417-0900-PLENARY-11-en_20120417-20:48:39_6	for once i am cautiously optimistic about this beautiful country thank you
voxpopuli_20110309-0900-PLENARY-14-en_20110309-13:24:36_0	thank you mister president my group is supporting this report because it moves in the right direction calling for a eu strategy and a roadmap for the roma inclusion
voxpopuli_20121210-0900-PLENARY-28-en_20121210-18:20:05_1	i never said that there are no violations of human rights i said they are still occurring and they are still
voxpopuli_20171212-0900-PLENARY-16-en_20171212-17:11:15_1	e delegation 根本是否解释主要的
voxpopuli_20130911-0900-PLENARY-6-en_20130911-14:59:17_5	this does not solve the problem of course of impunity for war crimes already clearly carried out by both sides neither does it ensure a return to the war crimes
voxpopuli_20171024-0900-PLENARY-15-en_20171024-16:01:10_7	2nd on the fiscal company incorporation we expect incorporation and reform incorporation and reform also by a full co decision procedure and double legal basis thank you
voxpopuli_20131209-0900-PLENARY-16-en_20131209-19:52:29_2	otherwise they could have excluded from the accord the waters of western sahara following the example of the congress of the u s and of the u s government that do not include western sahara in any economic agreement with morocco
