voxpopuli_20110309-0900-PLENARY-9-en_20110309-11:34:20_6	thank you your honor
voxpopuli_20131023-0900-PLENARY-11-en_20131023-15:33:56_0	thank you very much there are some privileges of the high representative
voxpopuli_20180702-0900-PLENARY-14-en_20180702-19:23:37_4	thank you colleague
voxpopuli_20170704-0900-PLENARY-15-en_20170704-17:12:49_6	thank you very much
voxpopuli_20170315-0900-PLENARY-16-en_20170315-22:52:19_0	thank you madam president my congratulations to mister haurage for an excellent report
voxpopuli_20110214-0900-PLENARY-9-en_20110214-18:38:20_0	thank you chairman the hungarian computer guy can legally go to czech republic and make his work and it is great
voxpopuli_20130206-0900-PLENARY-12-en_20130206-19:25:58_6	the stability of the european union and of bulgaria is at stake thank you very much
voxpopuli_20091022-0900-PLENARY-8-en_20091022-11:32:33_5	transcribe the speech to text
voxpopuli_20160427-0900-PLENARY-13-en_20160427-18:57:22_1	i believe that we should stand firm and should not grant discharge to the european food safety agency until the conflict of interest of experts is not resolved properly
voxpopuli_20140716-0900-PLENARY-4-en_20140716-09:13:16_2	in the committees however there has been an opportunity and you use this opportunity in the econ committee
voxpopuli_20191023-0900-PLENARY-en_20191023-19:23:53_6	that is the local interest and that is christian responsibility i think christian responsibility i think thank you
voxpopuli_20181023-0900-PLENARY-en_20181023-15:08:31_11	transcribe the speech to text
voxpopuli_20180418-0900-PLENARY-7-en_20180418-11:14:39_3	i lead by example and what we are asking in the european parliament is not exactly i do not want to see your individual invoices i think it is a voluntary exercise but what is proposed .
voxpopuli_20091022-0900-PLENARY-8-en_20091022-11:14:18_16	this adjustment list is usually in each year and represents good work from the secretariat also i must express .
voxpopuli_20120329-0900-PLENARY-5-en_20120329-10:37:14_5	this matter is presently being discussed in the competent committee and will be submitted for discussion in the parliament in due course
voxpopuli_20200115-0900-PLENARY-en_20200115-22:06:44_0	yes well i am not against that solution i could be a could be backing the
voxpopuli_20120913-0900-PLENARY-16-en_20120913-16:15:00_11	if not that is really sad you should not have been heard about that there was an irish banker in hungary
voxpopuli_20160427-0900-PLENARY-13-en_20160427-18:57:22_0	thank you madam i would like to talk about 2 discharges as shadow rapporteur 1st about the efsa the glyphosate scandal raises many procedural anomalies in the field of transparency and conflict of interest of the efsa i believe that we should stand
