edacc_EDACC-C23_P1_558	yes yes yes but it does like the thing that he thinks that is the hardest is and that he is not getting much sleep that he is really deprived but he says that you kind of get used to it like it is like now i think if i have a night that i do not sleep well my whole day is ruined but if some you have a tight end you are going to have a lot of nights that you do not sleep well have children to live with
edacc_EDACC-C23_P1_570	thank you
edacc_EDACC-C23_P1_572	thank you
edacc_EDACC-C23_P1_581	thank you
edacc_EDACC-C23_P1_612	thank you
edacc_EDACC-C23_P1_617	i do not like to call it un rational because that is already .
edacc_EDACC-C23_P1_625	i do not really dislike going to church
edacc_EDACC-C23_P2_635	thank you
edacc_EDACC-C23_P2_646	thank you
edacc_EDACC-C23_P2_656	enjoyment is not an opposite to commitment
edacc_EDACC-C23_P2_657	thank you
edacc_EDACC-C23_P2_682	thank you
edacc_EDACC-C04_744	thank you
edacc_EDACC-C04_782	thank you
edacc_EDACC-C21_2547	thank you
edacc_EDACC-C21_2564	thank you
edacc_EDACC-C21_2580	thank you
edacc_EDACC-C21_2586	i feel when i can not
edacc_EDACC-C21_2603	thank you
edacc_EDACC-C21_2649	thank you
edacc_EDACC-C26_2985	i think i have not heard about starfleet i never played that one what was it about
edacc_EDACC-C26_3003	thank you
edacc_EDACC-C26_3016	thank you
edacc_EDACC-C26_3025	thank you
edacc_EDACC-C26_3027	thank you
edacc_EDACC-C26_3043	thank you
edacc_EDACC-C27_3064	thank you
edacc_EDACC-C37_P1_3463	thank you
edacc_EDACC-C37_P1_3487	thank you
edacc_EDACC-C37_P1_3580	maybe this could be the name of a movie or maybe a director i do not know
edacc_EDACC-C37_P1_3583	thank you
edacc_EDACC-C37_P2_3671	thank you
edacc_EDACC-C37_P2_3681	i am really afraid if i go ill with my fraud
edacc_EDACC-C37_P2_3782	thank you thank you
edacc_EDACC-C37_P2_3798	i do not know
voxpopuli_20160606-0900-PLENARY-16-en_20160606-21:44:26_3	we are already sending pre accession funding and agriculture to turkey we are putting in 4600000000
voxpopuli_20151027-0900-PLENARY-12-en_20151027-17:00:29_2	thank you
voxpopuli_20090325-0900-PLENARY-4-en_20090325-12:47:54_0	i have an oral amendment here which would be the deletion of the last sentence just for the sake of a curacy because it is not a curate anymore
voxpopuli_20121211-0900-PLENARY-10-en_20121211-17:49:15_0	dear colleagues i would like to say thank you to all the colleagues for your good work and also to our friend york likefield and i turn to english because my german is not so good dear colleagues considering the noise issue as i said since the beginning i still believe that the article on the right of scrutiny proposed by the commission was a positive element
voxpopuli_20091124-0900-PLENARY-19-en_20091124-23:42:46_4	europe is an exquisite model of good practice which gives the possibility to smaller official languages to be treated on an equal footing
voxpopuli_20190918-0900-PLENARY-en_20190918-11:01:23_1	thank you
voxpopuli_20151125-0900-PLENARY-9-en_20151125-13:39:19_8	the anti democratic comments of those who just want to get lunch quicker lunch is not more important than democracy
voxpopuli_20110705-0900-PLENARY-9-en_20110705-17:39:28_0	thank you very much mister president dear commissioner dear colleagues the amendment 137 tabled with 40 other colleagues regarding languages in the food labeling has the aim to respect language diversity in the european union it also wants to respect
voxpopuli_20110705-0900-PLENARY-9-en_20110705-17:39:28_2	the diversity in the eu also means that 1000000s of european citizens have as they mother tongue a language which is not recognized in this parliament
voxpopuli_20180207-0900-PLENARY-17-en_20180207-18:15:09_5	thank you
voxpopuli_20151006-0900-PLENARY-15-en_20151006-20:06:45_1	thank you
